02,79078901234,1731260518,1731262807
02,79034567890,1731158834,1731159557
02,79055678901,1732052185,1732053779
02,79012345678,1731218995,1731221446
01,79044567890,1731759567,1731760394
02,79089012345,1732788165,1732790246
01,79033456789,1731448330,1731451634
01,79011234567,1732201809,1732201917
02,79067890123,1732738680,1732742156
02,79066789012,1730718756,1730721920
01,79012345678,1732519275,1732520207
02,79033456789,1732088608,1732089952
01,79045678901,1731108362,1731109456
01,79033456789,1732456635,1732459830
02,79034567890,1731126417,1731128891
02,79012345678,1732189753,1732191165
01,79023456789,1730759420,1730760823
02,79034567890,1732257323,1732259069
01,79056789012,1732437456,1732440181
01,79067890123,1731338294,1731339101
01,79045678901,1732811985,1732812299
02,79023456789,1730769747,1730769869
01,79023456789,1732475707,1732477102
01,79045678901,1731012674,1731014442
02,79089012345,1731366578,1731370136
02,79011234567,1732707776,1732711024
02,79066789012,1732465916,1732467804
02,79045678901,1731614624,1731614719
02,79033456789,1731378778,1731379046
01,79066789012,1730536302,1730538912
01,79056789012,1730810559,1730811043
02,79056789012,1731183173,1731186629
01,79033456789,1732724621,1732726427
01,79034567890,1731169222,1731172791
02,79022345678,1732160122,1732160717
01,79034567890,1730935328,1730936531
01,79055678901,1732286262,1732287694
02,79056789012,1731411843,1731413243
01,79067890123,1730550540,1730551076
02,79012345678,1732000742,1732000942
01,79090123456,1731454658,1731455417
01,79056789012,1731242649,1731245708
02,79044567890,1732207292,1732210369
01,79078901234,1730980919,1730981303
01,79055678901,1732320375,1732321168
02,79066789012,1731577385,1731577565
02,79034567890,1730450124,1730452239
02,79078901234,1731143498,1731145129
02,79012345678,1730555696,1730556046
02,79067890123,1731954367,1731956199
02,79089012345,1730913912,1730916002
01,79078901234,1730614940,1730616737
02,79055678901,1732279940,1732280709
01,79055678901,1730900780,1730904026
01,79066789012,1731441221,1731442106
01,79056789012,1731814164,1731816503
01,79034567890,1730896732,1730900326
01,79056789012,1731070092,1731073004
01,79067890123,1730626885,1730629106
01,79045678901,1730855267,1730857813
01,79078901234,1731459182,1731460345
02,79022345678,1732340718,1732341617
01,79034567890,1731966950,1731969501
01,79067890123,1732155473,1732157528
02,79067890123,1730428480,1730429661
02,79034567890,1732375673,1732375833
01,79055678901,1730976320,1730978531
02,79089012345,1730862832,1730865066
02,79067890123,1730476272,1730477630
02,79034567890,1732737366,1732738612
01,79056789012,1731672242,1731673709
02,79023456789,1731279024,1731280318
